Field Name	Type	System	Content Pack
Abnormal Security Portal URL	Long Text	Yes	Abnormal Security
Abnormal Security Post Remediated	Short Text	Yes	Abnormal Security
Abnormal Security Received Time	Short Text	Yes	Abnormal Security
Abnormal Security Recipient Address	Short Text	Yes	Abnormal Security
Abnormal Security Recipient Name	Short Text	Yes	Abnormal Security
Abnormal Security Remediation Status	Short Text	Yes	Abnormal Security
Abnormal Security Remediation Timestamp	Short Text	Yes	Abnormal Security
Abnormal Security Reply To Emails	Multi Select	Yes	Abnormal Security
Abnormal Security Return Path	Short Text	Yes	Abnormal Security
Abnormal Security Sender Domain	Short Text	Yes	Abnormal Security
Abnormal Security Sender IP Address	Short Text	Yes	Abnormal Security
Abnormal Security Sent Time	Short Text	Yes	Abnormal Security
Abnormal Security Severity	Short Text	Yes	Abnormal Security
Abnormal Security Severity Level	Short Text	Yes	Abnormal Security
Abnormal Security Subject	Short Text	Yes	Abnormal Security
Abnormal Security Summary Insights	Multi Select	Yes	Abnormal Security
Abnormal Security Threat ID	Short Text	Yes	Abnormal Security
Abnormal Security Threat IDs	Multi Select	Yes	Abnormal Security
Abnormal Security To Addresses	Multi Select	Yes	Abnormal Security
Abnormal Security Url Count	Number	Yes	Abnormal Security
Account ID	Short Text	Yes	Common Types
Account information breached	Short Text	Yes	Common Scripts
Account Member Of	Multi Select	Yes	Common Types
Account Status	Short Text	Yes	Common Types
Acquisition Hire	Short Text	Yes	Common Types
Action	Single Select	Yes	Core Alert Fields
Action Process Instance ID	Multi Select	Yes	Core Alert Fields
Actor Process Instance ID	Multi Select	Yes	Core Alert Fields
Additional Data	Multi Select	Yes	Common Types
Additional Email Addresses	Multi Select	Yes	Common Types
Additional Indicators	Short Text	Yes	Common Types
Affected data	Multi Select	Yes	Common Scripts
Affected Data Type	Short Text	Yes	Common Scripts
Affected Individuals Contact Information	Grid	Yes	Common Scripts
Agent Id	Short Text	Yes	Core Alert Fields
Agent OS Sub Type	Short Text	Yes	Core Alert Fields
Agent_resolution_context	Long Text	No	
Agents ID	Multi Select	Yes	Common Types
Agent Version	Multi Select	Yes	Common Types
AI Summary and Remediation	Markdown	No	
Alert Acknowledgement	Short Text	Yes	Common Types
Alert Action	Short Text	Yes	Common Types
Alert Malicious	Short Text	Yes	Common Types
Alert Rules	Markdown	Yes	Common Types
Alert Search Results	Grid	Yes	Core Alert Fields
Alert tags	Short Text	Yes	Common Types
Alert Type ID	Short Text	Yes	Common Types
Analysis Report	Multi Select	Yes	Malware Core
Anti-Spyware Profile Name	Short Text	Yes	MITRE ATT&CK - Courses of Action
Anti-Spyware Profile Status	Short Text	Yes	MITRE ATT&CK - Courses of Action
Anti-Spyware Rules	Short Text	Yes	MITRE ATT&CK - Courses of Action
Anti-Virus Profile Name	Short Text	Yes	MITRE ATT&CK - Courses of Action
Anti-Virus Profile Status	Short Text	Yes	MITRE ATT&CK - Courses of Action
Anti-Virus Rules	Short Text	Yes	MITRE ATT&CK - Courses of Action
App Category	Multi Select	Yes	Core Alert Fields
app channel name	Short Text	Yes	Common Types
App-ID	Multi Select	Yes	Core Alert Fields
Application Path	Short Text	Yes	Common Types
App message	Long Text	Yes	Common Types
appname	Short Text	No	
Approval Status	Short Text	Yes	Common Types
Approver	Short Text	Yes	Common Types
Approximate number of affected data subjects	Short Text	Yes	Common Scripts
App Subcategory	Multi Select	Yes	Core Alert Fields
App Technology	Multi Select	Yes	Core Alert Fields
Argus Attachment ID	Number	Yes	mnemonic MDR
Argus Case HTML	HTML	Yes	mnemonic MDR
Argus Case ID	Number	Yes	mnemonic MDR
Argus Case Link	URL	Yes	mnemonic MDR
Argus Case Service	Short Text	Yes	mnemonic MDR
Argus Case Status	Short Text	Yes	mnemonic MDR
Argus Case Type	Short Text	Yes	mnemonic MDR
Argus Comment ID	Number	Yes	mnemonic MDR
Argus Customer ID	Number	Yes	mnemonic MDR
Argus Event ID	Number	Yes	mnemonic MDR
Argus Event Type	Short Text	Yes	mnemonic MDR
Argus Tag ID	Number	Yes	mnemonic MDR
ASN	Short Text	Yes	Common Types
ASN Name	Short Text	Yes	Common Types
Asset ID	Short Text	Yes	Common Types
Asset Name	Short Text	Yes	Common Types
Asset Table	Markdown	Yes	Asset
Assigned User	Short Text	Yes	Common Types
Assignment Group	Short Text	Yes	Common Types
Attachments	Internal	Yes	
Attachment Count	Number	Yes	Phishing
Attachment Extension	Short Text	Yes	Phishing
Attachment Hash	Short Text	Yes	Phishing
Attachment ID	Short Text	Yes	Phishing
Attachment Name	Short Text	Yes	Phishing
Attachment size	Short Text	Yes	Phishing
Attachment type	Short Text	Yes	Phishing
Attack Mode	Short Text	Yes	Common Types
Attorney General Notification	Single Select	Yes	Common Scripts
Audit Logs	Short Text	Yes	Common Types
AzureDevOps  Project ID	Short Text	Yes	AzureDevOps
AzureDevOps  Project Name	Short Text	Yes	AzureDevOps
AzureDevOps  Pull Request ID	Short Text	Yes	AzureDevOps
AzureDevOps  RepositoryID	Short Text	Yes	AzureDevOps
AzureDevOps  Repository Name	Short Text	Yes	AzureDevOps
AzureDevOps  Status	Single Select	Yes	AzureDevOps
Best Practices Description	Markdown	Yes	MITRE ATT&CK - Courses of Action
Birthday	Short Text	Yes	Common Types
Blocked Action	Short Text	Yes	Common Types
Block Indicators Status	Short Text	Yes	Common Types
BPA Failed Checks - Anti-Spyware	Markdown	Yes	MITRE ATT&CK - Courses of Action
BPA Failed Checks - Anti-Virus	Markdown	Yes	MITRE ATT&CK - Courses of Action
BPA Failed Checks - File Blocking	Markdown	Yes	MITRE ATT&CK - Courses of Action
BPA Failed Checks - URL Filtering	Markdown	Yes	MITRE ATT&CK - Courses of Action
BPA Failed Checks - Vulnerability Protection	Markdown	Yes	MITRE ATT&CK - Courses of Action
BPA Failed Checks - WildFire	Markdown	Yes	MITRE ATT&CK - Courses of Action
BPA Passed Checks - Anti-Spyware	Markdown	Yes	MITRE ATT&CK - Courses of Action
BPA Passed Checks - Anti-Virus	Markdown	Yes	MITRE ATT&CK - Courses of Action
BPA Passed Checks - File Blocking	Markdown	Yes	MITRE ATT&CK - Courses of Action
BPA Passed Checks - URL Filtering	Markdown	Yes	MITRE ATT&CK - Courses of Action
BPA Passed Checks - Vulnerability Protection	Markdown	Yes	MITRE ATT&CK - Courses of Action
BPA Passed Checks - WildFire	Markdown	Yes	MITRE ATT&CK - Courses of Action
Branch Name	Short Text	Yes	XSOAR CI/CD
Breach Confirmation	Single Select	Yes	Common Scripts
Bugtraq	Short Text	Yes	Common Types
Caller	Short Text	Yes	Common Types
Campaign Name	Markdown	Yes	Common Types
Category Count	Number	Yes	Common Types
Category	Short Text	Yes	Core Alert Fields
CGO CMD	Multi Select	Yes	Core Alert Fields
CGO MD5	Multi Select	Yes	Core Alert Fields
CGO name	Multi Select	Yes	Core Alert Fields
CGO path	Multi Select	Yes	Core Alert Fields
CGO SHA256	Multi Select	Yes	Core Alert Fields
CGO signature	Multi Select	Yes	Core Alert Fields
CGO signer	Multi Select	Yes	Core Alert Fields
Changed	Short Text	Yes	Common Types
CICD Azure DevOps target ref	Short Text	Yes	XSOAR CI/CD
CI/CD Branch	Short Text	Yes	XSOAR CI/CD
CI/CD Keep Placeholders In Files	Boolean	Yes	XSOAR CI/CD
CI/CD Pack Name	Short Text	Yes	XSOAR CI/CD
CI/CD Pull Request Branch	Single Select	Yes	XSOAR CI/CD
CI/CD Pull Request Comment	Long Text	Yes	XSOAR CI/CD
CI/CD Pull Request Link	URL	Yes	XSOAR CI/CD
CI/CD Pull Request Review	Long Text	Yes	XSOAR CI/CD
CI/CD Pull Request Title	Short Text	Yes	XSOAR CI/CD
CI/CD Pull Request Reviewer	Short Text	Yes	XSOAR CI/CD
CI/CD S3 Bucket Name	Short Text	Yes	XSOAR CI/CD
CID	Multi Select	Yes	Core Alert Fields
CIRT Process Phase	Short Text	No	
City	Short Text	Yes	Common Types
Classification	Short Text	Yes	Common Types
Clicked URLs	Grid	Yes	Phishing
Resolution Comment	Long Text	Yes	
Close Reason	Single Select	Yes	
Close Time	Short Text	Yes	Common Types
Closing Reason	Short Text	Yes	Common Types
Closing User	Short Text	Yes	Common Types
Close User	Short Text	Yes	
Cloud Account ID	Multi Select	Yes	Common Types
Cloud Identity Sub-type	Multi Select	Yes	Core Alert Fields
Cloud Identity Type	Multi Select	Yes	Core Alert Fields
Cloud Instance ID	Multi Select	Yes	Common Types
Cloud Operation Type	Multi Select	Yes	Core Alert Fields
Cloud Project	Multi Select	Yes	Core Alert Fields
Cloud Provider	Multi Select	Yes	Core Alert Fields
Cloud Referenced Resource	Multi Select	Yes	Core Alert Fields
Cloud Region List	Multi Select	Yes	Common Types
Cloud Resource List	Multi Select	Yes	Common Types
Cloud Resource Sub-type	Multi Select	Yes	Core Alert Fields
Cloud Resource Type	Multi Select	Yes	Core Alert Fields
Cloud Service	Number	Yes	Common Types
Cluster Name	Multi Select	Yes	Core Alert Fields
Collection Remediation Products	Markdown	Yes	MITRE ATT&CK - Courses of Action
Command and Control Remediation Products	Markdown	Yes	MITRE ATT&CK - Courses of Action
Command Line Verdict	Short Text	Yes	Common Types
Comment	Short Text	Yes	Common Types
Company Address	Short Text	Yes	Common Scripts
Company City	Short Text	Yes	Common Scripts
Company has Insurance for the Breach	Short Text	Yes	Common Scripts
Company Name	Short Text	Yes	Common Scripts
Company Postal Code	Short Text	Yes	Common Scripts
Completed Task Count	Short Text	Yes	Rapid Breach Response
Compliance Notes	Multi Select	Yes	Common Types
Configuration File Path	Short Text	Yes	XSOAR CI/CD
Configuration File Source	Single Select	Yes	XSOAR CI/CD
Consumer Reporting Agencies Notification	Single Select	Yes	Common Scripts
Contact Address	Short Text	Yes	Common Scripts
Contact Email address	Short Text	Yes	Common Scripts
Contact Name	Short Text	Yes	Common Scripts
Contact Telephone number	Short Text	Yes	Common Scripts
Container ID	Multi Select	Yes	Core Alert Fields
Containment SLA	Timer	Yes	Common Types
Contains Featured Host	Multi Select	Yes	Core Alert Fields
Contains Featured IP Address	Multi Select	Yes	Core Alert Fields
Contains Featured User	Multi Select	Yes	Core Alert Fields
Content Notification Email	Short Text	Yes	XSOAR Content Update Notifications
Content Notification Slack Channel	Short Text	Yes	XSOAR Content Update Notifications
Content Notification Slack Channel ID	Short Text	Yes	XSOAR Content Update Notifications
Content Notification Slack Username	Short Text	Yes	XSOAR Content Update Notifications
Content Pack Selection	Long Text	Yes	XSOAR Content Update Notifications
Content Updates Auto Install	Boolean	Yes	XSOAR Content Update Notifications
Content Updates Available	Markdown	Yes	XSOAR Content Update Notifications
Coordinates	Short Text	Yes	Impossible Traveler
Cost Center	Short Text	Yes	Common Types
Cost Center Code	Short Text	Yes	Common Types
Country	Multi Select	Yes	Core Alert Fields
Country Code	Short Text	Yes	Common Types
Country Code Number	Short Text	Yes	Common Types
Country where business has its main establishment	Short Text	Yes	Common Scripts
Credential Access Remediation Products	Markdown	Yes	MITRE ATT&CK - Courses of Action
Credibility - Offense	Number	Yes	IBM QRadar
Critical Assets	Grid	Yes	Common Types
Custom Packs Installed	Grid	Yes	XSOAR CI/CD
Custom Packs Source	Single Select	Yes	XSOAR CI/CD
Custom Query Results	Markdown	Yes	Common Types
CVE	Short Text	Yes	Common Types
CVE ID	Short Text	Yes	Common Types
CVE List	Short Text	Yes	PAN-OS by Palo Alto Networks
CVE Published	Short Text	Yes	Common Types
CVSS	Short Text	Yes	Common Types
CVSS Availability Requirement	Multi Select	Yes	Common Types
CVSS Collateral Damage Potential	Multi Select	Yes	Common Types
CVSS Confidentiality Requirement	Multi Select	Yes	Common Types
CVSS Integrity Requirement	Multi Select	Yes	Common Types
Data Encryption Status	Multi Select	Yes	Common Scripts
Data Theft Risk Score	Short Text	No	
DBot Closed	Date Picker	Yes	
DBot Created	Date Picker	Yes	
DBOT SLA	Date Picker	Yes	
DBOT Mirror Direction	Single Select	Yes	
DBOT Mirror External ID	Short Text	Yes	
DBOT Mirror Instance	Single Select	Yes	
DBOT Mirror Last Sync	Date Picker	Yes	
DBot Modified	Date Picker	Yes	
DBotPrediction	Short Text	Yes	Phishing
DBotPredictionProbability	Number	Yes	Phishing
DBot Status	Single Select	Yes	
DBotTextSuggestionHighlighted	Markdown	Yes	Phishing
DBot Total Time	Date Picker	Yes	
Defense Evasion Remediation Products	Markdown	Yes	MITRE ATT&CK - Courses of Action
Demisto REST API Name	Short Text	Yes	XSOAR Content Update Notifications
Demo ID	Short Text	No	
Department	Short Text	Yes	Common Types
Description - Asset	Multi Select	Yes	Asset
Description - Offense	Short Text	Yes	IBM QRadar
Destination Geolocation	Multi Select	Yes	Common Types
Destination IPV6	Multi Select	Yes	Common Types
Destination Networks	Multi Select	Yes	Common Types
Destination Zone Name	Multi Select	Yes	Core Alert Fields
Dest OS	Short Text	Yes	Common Types
Description	Long Text	Yes	
Detected Endpoints	Short Text	Yes	Common Types
Detected External IPs	Short Text	Yes	Common Types
Detected Internal Hosts	Short Text	Yes	Common Types
Detection End Time	Date Picker	Yes	Common Types
Detection ID	Number	Yes	Common Types
Detection SLA	Timer	Yes	Common Types
Detection URL	URL	Yes	Common Types
Device External IPs	Multi Select	Yes	Common Types
Device Hash	Short Text	Yes	Common Types
Device Id	Short Text	Yes	Common Types
Device Internal IPs	Multi Select	Yes	Common Types
Device MAC Address	Multi Select	Yes	Common Types
Device Model	Short Text	Yes	Common Types
Device Name	Short Text	Yes	Common Types
Device OS Name	Multi Select	Yes	Common Types
Device OS Version	Multi Select	Yes	Common Types
Device OU	Multi Select	Yes	Common Types
Device Status	Short Text	Yes	Common Types
Device Time	Multi Select	Yes	Common Types
Discovery Remediation Products	Markdown	Yes	MITRE ATT&CK - Courses of Action
Display Name	Short Text	Yes	Common Types
DNS Query Name	Multi Select	Yes	Core Alert Fields
Domain	Short Text	Yes	Core Alert Fields
Legacy Domain Name	Multi Select	Yes	Common Types
Domain Registrar Abuse Email	Short Text	Yes	Common Types
Domain Squatting Result	Markdown	Yes	Common Types
Domain Updated Date	Short Text	Yes	Common Types
DPO E-mail Address	Short Text	Yes	Common Scripts
DPO Notification	Single Select	Yes	Common Scripts
Dropped Count	Internal	Yes	
Dsts	Multi Select	Yes	Common Types
Duration	Short Text	Yes	Common Types
Email	Short Text	Yes	Common Types
E-mail Address	Short Text	Yes	Common Scripts
Email Authenticity Check	Single Select	Yes	Phishing
Legacy Email BCC	Short Text	Yes	Phishing
Email Body	Long Text	Yes	Phishing
Email Body Format	Short Text	Yes	Phishing
Email Body HTML	HTML	Yes	Phishing
EmailCampaignCanvas	Markdown	Yes	Common Types
EmailCampaignMutualIndicators	Markdown	Yes	Common Types
EmailCampaignSnippets	Markdown	Yes	Common Types
EmailCampaignSummary	Markdown	Yes	Common Types
Legacy Email CC	Short Text	Yes	Phishing
Email Classification	Single Select	Yes	Phishing
Email Client Name	Short Text	Yes	Phishing
Email Delete From Brand	Single Select	Yes	Phishing
Email Delete Reason	Short Text	Yes	Phishing
Email Delete Result	Short Text	Yes	Phishing
Email Delete Type	Single Select	Yes	Phishing
Email Headers	Grid	Yes	Phishing
Email HTML	Long Text	Yes	Phishing
Email HTML Image	Long Text	Yes	Phishing
Email In Reply To	Short Text	Yes	Phishing
Email Internal Message ID	Short Text	Yes	Phishing
Email Keywords	Short Text	Yes	Phishing
Email Labels	Short Text	Yes	Phishing
Email Latest Message	Short Text	Yes	Phishing
Legacy Email Message ID	Short Text	Yes	Phishing
Email Queue ID	Short Text	Yes	PhishingAlerts
Email Received	Short Text	Yes	Phishing
Email Recipient	Multi Select	Yes	Core Alert Fields
Email Recipients Count	Number	Yes	Phishing
Email Reply To	Short Text	Yes	Phishing
Legacy Email Return Path	Short Text	Yes	Phishing
Email Sender	Multi Select	Yes	Core Alert Fields
Email Sender IP	Short Text	Yes	Phishing
Email Sent Successfully	Boolean	Yes	Common Types
Email Size	Number	Yes	Phishing
Email Source	Short Text	Yes	Phishing
Email Source Domain	Short Text	Yes	PhishingAlerts
Email Subject	Multi Select	Yes	Core Alert Fields
Email To Count	Short Text	Yes	Phishing
Email URL Clicked	Short Text	Yes	Phishing
Employee Display Name	Short Text	Yes	Common Types
Employee Email	Short Text	Yes	Common Types
Employee Manager Email	Short Text	Yes	Common Types
Endpoint Isolation Status	Short Text	Yes	Common Types
Endpoints Details	Markdown	Yes	Common Types
End Time	Short Text	Yes	Common Types
Eradication Task Count	Short Text	Yes	Rapid Breach Response
Error Code	Short Text	Yes	Common Types
Error Message	Long Text	Yes	Common Types
Escalation	Short Text	Yes	Common Types
Event Action	Single Select	Yes	Common Types
Event Descriptions	Multi Select	Yes	Common Types
Event ID	Short Text	Yes	Common Types
Event Names	Multi Select	Yes	Common Types
Event Type	Multi Select	Yes	Core Alert Fields
Exactly what happened, and at what times?	Short Text	Yes	NIST
Excluded	Boolean	Yes	Core Alert Fields
Executed Remediation Summary Description	Markdown	Yes	MITRE ATT&CK - Courses of Action
Execution Remediation Products	Markdown	Yes	MITRE ATT&CK - Courses of Action
Exfiltration Remediation Products	Markdown	Yes	MITRE ATT&CK - Courses of Action
exported	Internal	Yes	
Exposure Level	Short Text	Yes	Common Types
External Category ID	Multi Select	Yes	Common Types
External Category Name	Multi Select	Yes	Common Types
External Confidence	Multi Select	Yes	Common Types
External End Time	Date Picker	Yes	Common Types
External Last Updated Time	Date Picker	Yes	Common Types
External Link	URL	Yes	Common Types
External Severity	Multi Select	Yes	Common Types
External Start Time	Date Picker	Yes	Common Types
External Status	Multi Select	Yes	Common Types
External Sub Category ID	Multi Select	Yes	Common Types
External Sub Category Name	Multi Select	Yes	Common Types
External System ID	Multi Select	Yes	Common Types
Failed Logon Events	Number	Yes	Common Types
Failed Logon Events Timeframe	Short Text	Yes	Common Types
Feed Based	Internal	Yes	
File Access Date	Short Text	Yes	Common Types
File Blocking Profile Name	Short Text	Yes	MITRE ATT&CK - Courses of Action
File Blocking Profile Status	Short Text	Yes	MITRE ATT&CK - Courses of Action
File Blocking Rules	Short Text	Yes	MITRE ATT&CK - Courses of Action
File Creation Date	Short Text	Yes	Common Types
File Hash	Short Text	Yes	Common Types
File Macro SHA256	Multi Select	Yes	Core Alert Fields
File MD5	Multi Select	Yes	Core Alert Fields
File name	Multi Select	Yes	Core Alert Fields
File path	Multi Select	Yes	Core Alert Fields
File Relationships	Grid	Yes	Common Types
File SHA1	Multi Select	Yes	Common Types
File SHA256	Multi Select	Yes	Core Alert Fields
Legacy File Size	Short Text	Yes	Common Types
Financial information breached	Short Text	Yes	Common Scripts
First Name	Short Text	Yes	Common Types
First Seen	Short Text	Yes	Common Types
Follow Up	Boolean	Yes	Common Types
Full Name	Short Text	Yes	Common Types
FW Name	Multi Select	Yes	Core Alert Fields
FW Rule ID	Multi Select	Yes	Core Alert Fields
FW Rule Name	Multi Select	Yes	Core Alert Fields
FW Serial Number	Multi Select	Yes	Core Alert Fields
GDPR Notify Authorities	Timer	Yes	Common Scripts
Generic Export Indicators Service Action	Single Select	Yes	Generic Export Indicators Service
Generic Export Indicators Service Indicators List	Long Text	Yes	Generic Export Indicators Service
Generic Export Indicators Service Type	Single Select	Yes	Generic Export Indicators Service
Generic Export Indicators Service Tag	Short Text	Yes	Generic Export Indicators Service
Given Name	Short Text	Yes	Common Types
Google Drive Activity Added Parents	Grid	Yes	Google Drive
Google Drive Activity Added Permissions	Grid	Yes	Google Drive
Google Drive Activity Assigned Current User	Boolean	Yes	Google Drive
Google Drive Activity Assigned Deleted User	Boolean	Yes	Google Drive
Google Drive Activity Assigned Person Name	Short Text	Yes	Google Drive
Google Drive Activity Assigned Unknown User	Boolean	Yes	Google Drive
Google Drive Activity Assignment Subtype	Short Text	Yes	Google Drive
Google Drive Activity Copied Folder Type	Short Text	Yes	Google Drive
Google Drive Activity Copied Item Is File	Boolean	Yes	Google Drive
Google Drive Activity Copied Item Name	Short Text	Yes	Google Drive
Google Drive Activity Copied Item Title	Short Text	Yes	Google Drive
Google Drive Activity Copied Shared Drive Name	Short Text	Yes	Google Drive
Google Drive Activity Copied Shared Drive Title	Short Text	Yes	Google Drive
Google Drive Activity Created New	Boolean	Yes	Google Drive
Google Drive Activity Delete Type	Short Text	Yes	Google Drive
Google Drive Activity DLP Change Type	Short Text	Yes	Google Drive
Google Drive Activity Identified As	Short Text	Yes	Google Drive
Google Drive Activity Mentioned Users	Grid	Yes	Google Drive
Google Drive Activity New Title	Short Text	Yes	Google Drive
Google Drive Activity Old Title	Short Text	Yes	Google Drive
Google Drive Activity Post Subtype	Short Text	Yes	Google Drive
Google Drive Activity Reference Type	Short Text	Yes	Google Drive
Google Drive Activity Removed Parents	Grid	Yes	Google Drive
Google Drive Activity Removed Permissions	Grid	Yes	Google Drive
Google Drive Activity Restore Type	Short Text	Yes	Google Drive
Google Drive Activity Restriction Changes	Grid	Yes	Google Drive
Google Drive Activity Suggestion Subtype	Short Text	Yes	Google Drive
Google Drive Activity Targets	Grid	Yes	Google Drive
Google Drive Activity Uploaded	Boolean	Yes	Google Drive
Group ID	Short Text	Yes	Common Types
Handled Techniques	Grid	Yes	MITRE ATT&CK - Courses of Action
hasRole	Boolean	Yes	
Health insurance breached	Short Text	Yes	Common Scripts
Hello World ID	Short Text	Yes	HelloWorld
Hello World Status	Short Text	Yes	HelloWorld
Hello World Type	Short Text	Yes	HelloWorld
High Risky Hosts	Multi Select	Yes	Common Types
High Risky Users	Multi Select	Yes	Common Types
Host FQDN	Short Text	Yes	Core Alert Fields
Host IP	Multi Select	Yes	Core Alert Fields
Host Mac Address	Short Text	Yes	Core Alert Fields
Host Name	Short Text	Yes	Core Alert Fields
Host OS	Single Select	Yes	Core Alert Fields
Host Risk Level	Short Text	Yes	Core Alert Fields
Host Risk Reasons	Multi Select	Yes	Core Alert Fields
How could information sharing with other organizations have been improved?	Short Text	Yes	NIST
How well did staff and management perform in dealing with the incident? Were the documented procedures followed? Were they adequate?	Short Text	Yes	NIST
Hunting Task Count	Short Text	Yes	Rapid Breach Response
Hunt Results Count	Short Text	Yes	Common Types
ID - Asset	Multi Select	Yes	Asset
Identity Table	Markdown	Yes	Identity
Identity Type	Multi Select	Yes	Common Types
ID - Offense	Number	Yes	IBM QRadar
Image Name	Multi Select	Yes	Core Alert Fields
impacted devices	Short Text	Yes	Microsoft 365 Defender
impacted entities	Short Text	Yes	Microsoft 365 Defender
Impact Remediation Products	Markdown	Yes	MITRE ATT&CK - Courses of Action
Impossible Travel Risk Score	Short Text	No	
Incident Link	URL	Yes	Common Types
IncomingMirrorError	Long Text	Yes	Common Types
Indeni Device ID	Short Text	Yes	Indeni
Indeni Issue ID	Short Text	Yes	Indeni
Individuals Notification	Single Select	Yes	Common Scripts
Initial Access Remediation Products	Markdown	Yes	MITRE ATT&CK - Courses of Action
Initiated By	Multi Select	Yes	Core Alert Fields
Initiator CMD	Multi Select	Yes	Core Alert Fields
Initiator MD5	Multi Select	Yes	Core Alert Fields
Initiator path	Multi Select	Yes	Core Alert Fields
Initiator PID	Multi Select	Yes	Core Alert Fields
Initiator SHA256	Multi Select	Yes	Core Alert Fields
Initiator signature	Multi Select	Yes	Core Alert Fields
Initiator signer	Multi Select	Yes	Core Alert Fields
Initiator TID	Multi Select	Yes	Core Alert Fields
Internal Addresses	Short Text	Yes	Common Types
Inventa Credit Card Number	Short Text	Yes	Inventa
Inventa Driver License	Short Text	Yes	Inventa
Inventa DSAR DataAssets	Grid	Yes	Inventa
Inventa DSAR DataBases	Grid	Yes	Inventa
Inventa DSAR DataSubject Email	Short Text	Yes	Inventa
Inventa DSAR DataSubject ID	Short Text	Yes	Inventa
Inventa DSAR DataSubject Name	Short Text	Yes	Inventa
Inventa DSAR Files	Grid	Yes	Inventa
Inventa DSAR Inventa Ticket	Short Text	Yes	Inventa
Inventa DSAR PII Entities	Grid	Yes	Inventa
Inventa DSAR Transactions	Grid	Yes	Inventa
Inventa National ID	Short Text	Yes	Inventa
Inventa Passport Number	Short Text	Yes	Inventa
Inventa Report Reason	Short Text	Yes	Inventa
Inventa Source	Grid	Yes	Inventa
Inventa Tax ID	Short Text	Yes	Inventa
Inventa Vehicle Number	Short Text	Yes	Inventa
investigation hint	Short Text	No	
Investigation Stage	Short Text	Yes	Common Types
IP Address - Asset	Multi Select	Yes	Asset
IP Blocked Status	Short Text	Yes	Common Types
IP Reputation	Short Text	Yes	Common Types
Is Active	Single Select	Yes	Common Types
Isolated	Short Text	Yes	Common Types
Is Phishing	Multi Select	Yes	Core Alert Fields
Is the Data Subject to DPIA	Short Text	Yes	Common Scripts
Item Owner	Short Text	Yes	Common Types
Item Owner Email	Short Text	Yes	Common Types
Jira Comment	Long Text	Yes	Atlassian Jira
Jira Description	Short Text	Yes	Atlassian Jira
Jira Due Date	Short Text	Yes	Atlassian Jira
Jira Estimate	Short Text	Yes	Atlassian Jira
Jira ID	Number	Yes	Atlassian Jira
Jira Issue Key	Short Text	Yes	Atlassian Jira
Jira Issue Type	Short Text	Yes	Atlassian Jira
Jira Priority	Short Text	Yes	Atlassian Jira
Jira Project	Short Text	Yes	Atlassian Jira
Jira Reporter Email	Short Text	Yes	Atlassian Jira
Jira Reporter Name	Short Text	Yes	Atlassian Jira
Jira Status	Short Text	Yes	Atlassian Jira
Jira Subtask	Long Text	Yes	Atlassian Jira
