_time	original_tags	action_status	targetip	xdm.certificate.issuer	xdm.certificate.not_after	xdm.application_protocol	_insert_time
Jul 26 2026 16:37:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 16:37:20
Jul 26 2026 16:37:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 16:37:27
Jul 26 2026 16:37:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 16:37:24
Jul 26 2026 16:27:12	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 16:28:05
Jul 26 2026 16:17:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 16:17:32
Jul 26 2026 15:47:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 15:47:25
Jul 26 2026 15:47:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 15:47:20
Jul 26 2026 15:37:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 15:37:18
Jul 26 2026 15:07:12	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 15:07:16
Jul 26 2026 14:57:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 14:57:43
Jul 26 2026 14:47:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 14:47:24
Jul 26 2026 14:42:12	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 14:42:23
Jul 26 2026 14:32:12	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 14:32:25
Jul 26 2026 14:22:12	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 14:22:22
Jul 26 2026 14:22:12	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 14:22:27
Jul 26 2026 14:12:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 14:12:26
Jul 26 2026 13:57:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 14:00:18
Jul 26 2026 13:47:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 13:47:23
Jul 26 2026 13:42:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 13:42:17
Jul 26 2026 13:37:12	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 13:37:21
Jul 26 2026 13:27:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 13:28:43
Jul 26 2026 13:22:12	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 13:22:25
Jul 26 2026 13:17:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 13:17:18
Jul 26 2026 13:17:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 13:17:14
Jul 26 2026 13:12:12	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 13:12:15
Jul 26 2026 13:07:12	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 13:07:16
Jul 26 2026 13:02:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 13:02:19
Jul 26 2026 12:22:12	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 12:22:24
Jul 26 2026 12:07:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 12:07:26
Jul 26 2026 12:07:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 12:07:29
Jul 26 2026 12:07:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 12:07:22
Jul 26 2026 11:47:11	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 11:47:28
Jul 26 2026 07:48:27	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 07:48:39
Jul 26 2026 07:18:27	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 07:18:31
Jul 26 2026 07:03:30	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 07:03:47
Jul 26 2026 06:38:28	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 06:38:40
Jul 26 2026 06:38:28	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 06:38:36
Jul 26 2026 06:33:33	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 06:33:46
Jul 26 2026 06:33:32	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 06:33:43
Jul 26 2026 06:23:27	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 26 2026 06:23:47
Jul 25 2026 20:42:06	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 25 2026 20:42:16
Jul 25 2026 20:42:06	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 25 2026 20:42:11
Jul 25 2026 20:37:06	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 25 2026 20:37:22
Jul 25 2026 20:32:07	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 25 2026 20:32:09
Jul 25 2026 20:27:06	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 25 2026 20:27:41
Jul 25 2026 20:22:07	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 25 2026 20:22:09
Jul 25 2026 20:22:06	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 25 2026 20:22:16
Jul 25 2026 20:22:06	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 25 2026 20:22:13
Jul 25 2026 20:17:06	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 25 2026 20:17:08
Jul 25 2026 20:12:06	DOM:Posture,DS:PANW/ASM	SCANNED					Jul 25 2026 20:12:13
